Date,Open,High,Low,Close,Volume,Adj Close
31-10-2014,78.45,79.15,78.15,78.85,13380700,78.85
30-10-2014,78.6,78.8,78.2,78.45,11818300,78.45
29-10-2014,78.45,79.2,78.45,79.05,17032000,79.05
28-10-2014,78.05,79,78.05,78.85,16243300,78.85
27-10-2014,78.25,78.4,77.7,78.3,15694200,78.3
24-10-2014,78,78.1,77.6,77.95,7611700,77.95
23-10-2014,77.6,78.05,77.5,78,9956000,78
22-10-2014,78.35,78.8,78.05,78.4,13552400,78.3
21-10-2014,77.5,78.05,77.5,77.75,12729700,77.65
20-10-2014,78.2,78.25,77.45,77.55,17481400,77.45
17-10-2014,77.3,78,77.3,77.9,27568100,77.8
16-10-2014,77.4,78,77.2,77.65,27082100,77.55
15-10-2014,78.3,78.9,78,78.6,9950700,78.5
14-10-2014,78.45,79.5,78.35,78.6,11495700,78.5
13-10-2014,77.55,78.3,77.5,78.2,27974300,78.1
10-10-2014,78.35,78.8,78.25,78.4,24027400,78.3
9-10-2014,79.5,80.15,79.45,79.8,13621500,79.7
8-10-2014,78.75,79.2,78.65,79.15,11623300,79.05
7-10-2014,78.7,79.5,78.7,79.05,21013400,78.95
6-10-2014,78.5,79.85,78.25,79.1,29309100,79
3-10-2014,77.95,79.25,77.6,78.65,40402500,78.55
2-10-2014,79.55,79.55,79.55,79.55,0,79.45
1-10-2014,79.55,79.55,79.55,79.55,0,79.45
30-09-2014,80.2,80.25,79.5,79.55,29939200,79.45
29-09-2014,81.6,81.75,80.6,80.7,26721200,80.6
26-09-2014,82,82.25,81.9,82.15,11224800,82.05
25-09-2014,82.6,82.7,82,82.2,8514400,82.1
24-09-2014,82.7,82.95,82.25,82.3,11266100,82.2
23-09-2014,83.2,83.5,82.8,82.85,7576200,82.74
22-09-2014,83.5,83.75,83.15,83.55,10803800,83.44
19-09-2014,84.05,84.4,83.65,84.2,39088900,84.09
18-09-2014,83.15,83.15,82.3,82.8,11414000,82.69
17-09-2014,82.9,83.2,82.7,82.9,16272000,82.79
16-09-2014,82.5,82.85,82.25,82.35,5831900,82.24
15-09-2014,82.2,82.65,82,82.5,6942400,82.39
12-09-2014,82.45,82.65,82.1,82.6,4759400,82.49
11-09-2014,82.75,82.9,82.3,82.65,7992100,82.54
10-09-2014,82.75,82.75,82.1,82.25,12290400,82.15
9-09-2014,82.95,82.95,82.95,82.95,0,82.84
8-09-2014,83.7,83.7,82.6,82.95,12096000,82.84
5-09-2014,83.45,84.1,83.25,83.6,31094000,83.49
4-09-2014,83.4,83.65,82.8,83.3,12423400,83.19
3-09-2014,82.8,83.75,82.55,83.65,16558600,83.54
2-09-2014,83.1,83.4,82.85,83.2,11379500,83.09
1-09-2014,83.5,84,83.45,83.6,9239300,83.49
29-08-2014,83.55,83.85,83.1,83.65,16540800,83.54
28-08-2014,83.25,83.5,82.8,83.2,14719400,83.09
27-08-2014,83.7,83.7,82.8,82.85,10343400,82.74
26-08-2014,83.5,83.7,83.35,83.4,8458600,83.29
25-08-2014,83.05,83.8,82.65,83.7,12093100,83.59
22-08-2014,82.45,83.25,82.45,83.2,12187500,83.09
21-08-2014,82.65,82.8,82.3,82.45,10007200,82.34
20-08-2014,82.65,83,82.6,82.8,10174300,82.69
19-08-2014,83.4,83.85,83.1,83.75,12750200,83.54
18-08-2014,83.4,83.6,82.7,83.5,14655200,83.29
15-08-2014,84,84.15,83.75,83.9,26053200,83.69
14-08-2014,82.6,83.2,82.55,82.85,10671300,82.65
13-08-2014,82,82.65,81.7,82.6,8381500,82.4
12-08-2014,81.45,81.85,81.25,81.85,14053200,81.65
11-08-2014,82.5,82.5,81.95,82.2,9431300,82
8-08-2014,82,82.9,81.85,81.95,10722900,81.75
7-08-2014,82.7,82.7,82.2,82.4,11472800,82.2
6-08-2014,82.8,83.45,82.45,83.3,10575100,83.09
5-08-2014,82.6,83.65,82.4,83.55,17877100,83.34
4-08-2014,82.1,82.5,81.9,82.05,16860800,81.85
1-08-2014,83.4,83.4,82.55,82.75,18751300,82.55
31-07-2014,83.9,84.05,83.45,83.5,21137900,83.29
30-07-2014,83.5,83.9,83.25,83.6,28036700,83.39
29-07-2014,82.95,83.3,82.7,83.2,27201600,82.99
28-07-2014,81.85,82.5,81.75,82.25,24016800,82.05
25-07-2014,81.4,81.8,81.1,81.7,35220100,81.5
24-07-2014,80.1,80.8,80,80.75,18698700,80.55
23-07-2014,80.1,80.3,79.85,80.1,13442100,79.9
22-07-2014,79.05,80.2,79,80.1,12381800,79.9
21-07-2014,79.35,79.45,79.05,79.1,8305500,78.9
18-07-2014,79.1,79.5,78.8,79.35,6959500,79.15
17-07-2014,80,80.05,79.7,79.8,7111100,79.6
16-07-2014,79.55,79.8,79.15,79.6,5877200,79.4
15-07-2014,79.5,79.5,78.95,79.25,6555600,79.05
14-07-2014,78.9,79.2,78.6,79.15,7136100,78.95
11-07-2014,78.5,78.65,78.05,78.6,21322300,78.41
10-07-2014,79,79.4,78.8,78.9,8900600,78.71
9-07-2014,79.55,79.55,78.95,79,12995100,78.81
8-07-2014,79.8,80.15,79.75,79.95,6667900,79.75
7-07-2014,80.8,80.8,80.15,80.35,4859200,80.15
4-07-2014,80.6,80.65,80.35,80.4,6344500,80.2
3-07-2014,79.95,80.35,79.9,80.2,5764600,80
2-07-2014,79,80.05,78.85,80,22173200,79.8
1-07-2014,78.6,78.6,78.6,78.6,0,78.41
30-06-2014,79,79,78,78.6,19753200,78.41
27-06-2014,78.8,79.25,78.8,79.05,24757300,78.85
26-06-2014,79.6,79.95,79.6,79.7,14698600,79.5
25-06-2014,79.8,80.05,79.5,79.65,8712400,79.45
24-06-2014,80.15,80.15,79.7,79.95,9504700,79.75
23-06-2014,80.5,81.1,79.7,79.8,19428200,79.6
20-06-2014,80.65,81.1,80.65,80.8,6915800,80.6
19-06-2014,80.6,81,80.6,80.9,6456800,80.7
18-06-2014,80.4,81.15,80.4,80.9,7225900,80.7
17-06-2014,80.85,81.15,80.6,80.8,6986600,80.6
16-06-2014,81.2,81.4,80.85,81.15,5032500,80.95
13-06-2014,81,81.8,80.85,81.35,6264900,81.15
12-06-2014,80.4,81.2,80.4,81.15,5480400,80.95
11-06-2014,81,81.3,80.85,80.9,7671700,80.7
9-06-2014,81.5,81.7,81.2,81.45,6475900,81.25
6-06-2014,81.05,81.45,80.65,81.15,21448000,80.95
5-06-2014,81.1,81.25,80.65,80.85,7981200,80.65
4-06-2014,81.2,81.7,81.1,81.2,8904000,81
3-06-2014,81.25,81.7,81.2,81.5,7797300,81.3
2-06-2014,81.75,81.75,81.75,81.75,0,81.55
30-05-2014,81.5,82,81.3,81.75,8815600,81.55
29-05-2014,81.2,82,81.2,81.6,8978100,81.4
28-05-2014,81.1,82.15,80.85,81.45,15420700,81.25
27-05-2014,80.9,81.5,80.9,81.3,9038100,81.1
26-05-2014,80.5,81.2,80,80.9,5863700,80.7
23-05-2014,80.75,80.85,80.3,80.6,7018700,80.4
22-05-2014,80.8,81.6,80.6,80.7,6802200,80.5
21-05-2014,81,81.2,80.45,80.8,9774200,80.6
20-05-2014,82.1,82.65,82.05,82.45,18759800,82.15
